8 5000
A 	B C D E F G H
1 1 0 1 1 0 1 0
1 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 0 1 1 1 1 1 0
0 1 0 1 1 0 1 1
1 0 1 1 1 1 1 1
1 1 1 0 0 0 0 1
0 0 0 1 1 1 0 0
1 0 1 1 0 1 1 1
H1 1 1 1 0 0 1 1
0 1 0 1 0 0 0 1
0 0 0 1 0 1 1 0
1 1 1 1 1 1 1 1
1 0 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 1 0 1 0 0 0 1
1 0 H2 1 0 1 1 1
0 1 1 1 0 0 1 1
0 0 0 1 0 1 0 0
0 1 1 1 0 0 1 1
0 1 1 1 1 0 1 1
1 1 0 1 0 1 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 0 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 0 1 0 0 0 1
0 1 1 1 1 1 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
0 1 1 0 1 0 1 1
1 1 1 1 0 0 1 1
1 0 1 1 0 1 1 1
1 1 1 0 0 0 1 1
0 1 0 1 0 1 0 1
0 1 1 1 0 1 1 1
0 1 1 0 1 0 1 1
0 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
0 1 1 1 1 0 1 1
1 0 0 1 0 1 0 1
0 1 1 0 0 0 0 1
0 1 0 0 1 0 1 0
0 1 1 1 1 0 1 1
0 1 0 1 1 0 0 1
0 1 0 0 0 0 0 1
1 1 0 1 0 0 1 1
0 1 0 1 0 1 1 1
1 0 1 0 0 1 1 1
1 1 0 0 0 0 0 1
0 1 1 1 0 0 1 1
1 0 0 1 1 0 1 0
1 1 1 0 1 1 0 1
1 0 0 1 0 1 0 1
1 1 1 1 1 1 1 1
0 0 1 0 0 0 1 1
0 1 1 0 0 0 1 1
1 0 1 1 0 0 1 1
1 0 1 0 0 0 1 0
1 1 0 1 0 1 1 1
0 0 1 1 0 1 1 1
1 0 0 1 1 0 1 0
1 0 0 1 H3 1 0 0
1 1 0 1 0 1 0 0
1 0 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 0 1 0 1 1 1 1
1 0 1 1 0 1 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 0 1 1
1 1 1 1 0 0 0 1
1 1 1 1 0 1 1 1
1 0 0 1 1 0 0 0
1 1 1 0 1 0 1 1
0 1 1 0 1 0 1 1
1 0 0 1 1 1 1 1
0 1 0 1 0 0 0 1
1 1 1 1 0 1 1 1
0 0 0 1 1 1 1 1
0 1 0 1 0 0 1 1
1 1 1 0 0 0 0 1
0 1 1 1 0 1 1 1
0 0 0 H4 1 1 1 0
0 1 1 1 0 0 1 1
0 0 0 1 1 0 1 1
0 0 1 1 1 0 1 0
0 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 0 1 1 1 1 1 1
0 1 0 1 0 0 1 1
0 1 0 1 0 0 1 1
0 0 1 1 1 1 1 0
0 1 1 1 0 0 1 1
0 1 1 1 1 0 1 0
1 1 1 1 1 0 1 1
0 1 0 1 0 0 0 1
1 0 1 1 1 1 1 1
1 1 0 1 0 0 1 1
1 1 1 1 0 1 1 1
1 0 0 0 1 0 1 0
1 1 1 1 0 1 1 1
0 1 1 1 1 0 0 1
0 1 1 0 1 0 0 1
1 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 0 1
1 1 0 0 0 0 1 1
1 0 1 1 0 1 1 1
1 0 1 1 0 1 1 1
1 0 1 0 1 0 1 0
1 1 0 0 1 0 1 1
1 1 1 1 0 1 0 1
1 1 0 0 0 0 1 1
0 1 0 0 0 0 1 1
1 1 1 1 1 1 1 1
1 1 0 1 0 1 1 1
0 1 1 1 1 0 1 1
0 0 1 1 0 0 1 1
1 1 1 1 0 0 1 1
0 1 0 1 1 1 1 1
0 1 1 1 0 1 0 1
0 1 1 1 0 0 1 1
1 1 0 1 0 1 0 1
1 0 1 0 0 1 1 1
0 0 1 1 0 1 1 1
0 1 1 1 1 0 1 1
1 1 1 1 0 1 1 1
1 1 1 1 1 1 1 1
0 1 0 1 0 0 1 1
1 0 1 1 0 1 0 1
0 0 1 1 0 1 1 1
0 1 1 0 1 0 1 1
1 1 1 1 1 0 1 1
0 1 1 1 1 1 1 1
1 1 1 1 0 0 1 1
0 0 0 1 0 0 0 1
0 1 1 0 0 0 1 1
1 1 1 1 1 1 1 1
1 0 0 1 1 1 1 1
1 0 1 0 1 0 1 1
0 1 1 1 0 1 1 1
1 1 1 0 0 0 1 1
0 1 1 0 0 0 1 1
1 1 0 1 1 1 1 1
1 1 0 1 0 0 0 1
0 1 1 0 0 0 1 1
0 1 1 1 0 1 1 1
1 1 1 0 0 0 1 1
1 1 1 0 1 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 0 1 0 1 0 1
0 0 1 1 0 1 1 1
1 0 1 0 1 0 1 0
1 1 1 0 0 0 1 1
0 1 0 0 1 0 0 1
0 0 1 1 0 0 1 1
1 0 0 1 1 0 0 0
1 1 1 1 1 0 1 1
1 0 0 1 1 0 0 0
1 1 0 1 0 0 1 1
0 0 0 1 0 0 1 0
1 1 1 0 0 H5 0 1
0 0 1 1 1 1 1 0
0 1 0 1 0 1 1 1
0 0 0 1 0 1 0 1
0 0 0 1 1 1 1 0
1 0 1 0 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
1 0 0 1 0 1 1 1
0 1 0 1 0 0 1 1
1 1 1 1 1 1 1 1
1 1 0 1 1 0 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 0 1 1
1 1 1 1 0 0 1 1
0 1 0 1 0 0 0 1
0 1 1 1 1 1 1 1
1 0 1 1 1 0 1 0
1 1 1 1 1 1 1 1
1 1 0 1 1 1 0 1
0 0 0 1 1 1 1 0
1 1 1 1 0 0 1 1
0 0 0 1 1 1 1 0
1 0 1 1 1 0 1 0
1 1 0 1 0 0 0 0
1 1 1 0 0 0 1 1
0 1 1 1 0 0 1 1
1 0 0 1 1 0 1 0
1 1 1 1 0 0 0 1
1 0 1 1 1 1 1 1
1 1 1 1 0 1 1 1
0 0 1 0 0 0 1 1
0 1 1 0 1 0 1 1
1 1 0 1 0 1 0 1
1 1 1 0 0 0 1 1
1 1 1 0 0 0 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 0 1
0 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 1 H6 1
1 1 1 1 0 0 1 1
1 0 0 1 0 1 1 0
0 0 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 1 0 1 0 1 1
1 0 0 0 0 1 0 1
1 1 0 1 0 1 1 1
0 0 1 1 0 1 0 1
1 1 1 1 0 1 1 1
0 0 0 0 1 0 0 0
0 1 0 1 1 0 1 1
0 1 1 0 1 0 1 1
1 1 1 1 0 1 1 1
0 1 0 1 0 0 0 1
0 1 1 1 0 0 1 1
1 1 0 1 1 1 1 1
0 1 1 1 1 1 1 1
0 0 1 1 0 1 1 1
1 0 1 1 1 0 1 0
0 1 1 1 0 1 0 1
0 1 1 1 0 0 0 1
1 1 0 1 1 1 1 1
1 1 0 1 0 0 1 1
1 0 1 1 1 1 1 0
0 0 1 1 0 1 1 1
1 1 0 1 0 0 1 1
1 1 0 0 0 0 1 1
1 1 1 1 1 0 1 1
1 1 1 1 0 1 0 1
0 0 0 1 1 1 1 0
1 0 0 1 1 1 1 1
0 1 0 0 1 0 1 0
