"AthleteID","FirstName","LastName","DateOfBirth","Gender","Country"
1,"Hermann","auf der Heide",1911/6/1 0:00:00,"Male","GER"
2,"Klaus","Aeffke",1940/5/9 0:00:00,"Male","FRG"
3,"Ramon","Andersson",1963/3/20 0:00:00,"Male","AUS"
4,"Elena","Azarova",1973/6/5 0:00:00,"Female","RUS"
5,"Dele","Adeleye",1988/12/25 0:00:00,"Male","NGR"
6,"Masao","Arai",1949/6/6 0:00:00,,"JPN"
7,"Erik","Andersson",1896/3/17 0:00:00,,"SWE"
8,"Dainius","Adomaitis",1974/1/19 0:00:00,"Male","LTU"
9,"Yevgeniya","Artamonova",1975/7/17 0:00:00,"Female","RUS"
10,"Nikolay","Alyokhin",1954/10/26 0:00:00,,"URS"
11,"Edgar","Ablowich",1913/4/29 0:00:00,"Male","USA"
12,"Jeff","Archibald",1952/2/2 0:00:00,"Male","NZL"
13,"Alf Lied","Aanning",1896/2/10 0:00:00,,"NOR"
14,"Michael","Aikman",,"Male","AUS"
15,"Crissy","Ahmann-Leighton",1970/5/20 0:00:00,"Female","USA"
16,"Gezahgne","Abera",1978/4/23 0:00:00,"Male","ETH"
17,"Artur","Ayvazian",,,"UKR"
18,"Stacy","Augmon",1968/8/1 0:00:00,"Male","USA"
19,"Seimone","Augustus",1984/4/30 0:00:00,"Female","USA"
20,"Rita","Achkina",1938/2/1 0:00:00,"Female","URS"
21,"Kurt","Ainsworth",1978/9/9 0:00:00,,"USA"
22,"Ove","Andersen",1899/8/2 0:00:00,"Male","FIN"
23,"Armenak","Alachachyan",1930/12/25 0:00:00,"Male","URS"
24,"Isaac","Asare",1974/9/1 0:00:00,,"GHA"
25,"Charles","Aman",,"Male","USA"
26,"Vugar","Alekperov",1981/1/5 0:00:00,,"AZE"
27,"Herta","Anitas",1967/8/18 0:00:00,"Female","ROM"
28,"Kazimierz","Adach",1957/5/9 0:00:00,,"POL"
29,"Georges","Anthony",,"Male","BEL"
30,"Simon","Archer",1973/6/27 0:00:00,,"GBR"
31,"Evgueni","Aleinikov",1967/5/29 0:00:00,"Male","RUS"
32,"Leah","Amico-O'Brien",1974/9/9 0:00:00,"Female","USA"
33,"Vladislav","Akimenko",1953/3/5 0:00:00,,"URS"
34,"Oluwafemi","Ajilore",1985/1/18 0:00:00,"Male","NGR"
35,"Gail","Amundrud",1957/4/6 0:00:00,"Female","CAN"
36,"Elvan","Abeylegesse",,"Female","TUR"
37,"Harold","Abrahams",1899/12/15 0:00:00,"Male","GBR"
