CityID,City,Region
1,Athens,GRE
2,Paris,FRA
3,St Louis,USA
4,London,GBR
5,Stockholm,SWE
6,Antwerp,BEL
7,Amsterdam,NED
8,Los Angeles,USA
9,Berlin,GER
10,Helsinki,FIN
11,Melbourne,AUS
12,Rome,ITA
13,Tokyo,JPN
14,Mexico City,MEX
15,M¨¹nchen,GER
16,Montreal,CAN
17,Moscow,URS
18,Seoul,KSA
19,Barcelona,ESP
20,Atlanta,USA
21,Sydney,AUS
22,Beijing,CHN
23,Chamonix,FRA
24,St. Moritz,SUI
25,Lake Placid,USA
26,Garmisch-Partenkirchen,GER
27,Oslo,NOR
28,Cortina d'Ampezzo,ITA
29,Squaw Valley,USA
30,Innsbruck,AUT
31,Grenoble,FRA
32,Sapporo,JPN
33,Sarajevo,YUG
34,Calgary,CAN
35,Albertville,FRA
36,Lillehammer,NOR
37,Nagano,JPN
38,Salt Lake City,USA
39,Torino,ITA
40,Vancouver,CAN
41,Sochi,RUS
